game_id,sport,season,week,home_team,away_team,network,conference,location_type,location_city,location_state,is_rivalry,is_ranked_matchup,is_prime_time,viewership_millions,avg_viewers,is_estimate,game_date,gender,opponent,source_sheet
AZ-baseball-2024-0002,baseball,2024,31,Arizona,Texas A&M,Astros.com,Big 12,neutral,Tucson,AZ,0,1,1,0.005,5000.0,1,2025-02-28,Mens,Texas A&M,Valuation (24-25 Data)
AZ-baseball-2024-0003,baseball,2024,31,Arizona,Mississippi State,Astros.com,Big 12,neutral,Tucson,AZ,0,1,0,0.005,5000.0,1,2025-03-01,Mens,Mississippi State,Valuation (24-25 Data)
AZ-baseball-2024-0004,baseball,2024,31,Arizona,Tennessee,Astros.com,Big 12,neutral,Tucson,AZ,0,1,0,0.005,5000.0,1,2025-03-02,Mens,Tennessee,Valuation (24-25 Data)
AZ-baseball-2024-0005,baseball,2024,46,Arizona,Coastal Carolina,ESPN,Big 12,neutral,Tucson,AZ,0,1,0,0.9,900000.0,1,2025-06-13,Mens,Coastal Carolina,Valuation (24-25 Data)
AZ-baseball-2024-0006,baseball,2024,46,Arizona,Louisville,ESPN,Big 12,neutral,Tucson,AZ,0,0,0,1.0,1000000.0,1,2025-06-15,Mens,Louisville,Valuation (24-25 Data)
AZ-baseball-2024-0007,baseball,2024,29,Arizona,New Mexico,ESPN+,Non-Conference,home,Tucson,AZ,0,0,0,0.005467,5467.0,0,2025-02-18,Mens,New Mexico,Valuation (24-25 Data)
AZ-baseball-2024-0008,baseball,2024,30,Arizona,San Diego,ESPN+,Non-Conference,home,Tucson,AZ,0,0,1,0.008595,8595.0,0,2025-02-21,Mens,San Diego,Valuation (24-25 Data)
AZ-baseball-2024-0009,baseball,2024,30,Arizona,San Diego,ESPN+,Non-Conference,home,Tucson,AZ,0,0,0,0.007587,7587.0,0,2025-02-22,Mens,San Diego,Valuation (24-25 Data)
AZ-baseball-2024-0010,baseball,2024,30,Arizona,San Diego,ESPN+,Non-Conference,home,Tucson,AZ,0,0,0,0.004362,4362.0,0,2025-02-23,Mens,San Diego,Valuation (24-25 Data)
AZ-baseball-2024-0011,baseball,2024,30,Rice,Arizona,ESPN+,Non-Conference,away,Unknown,ST,0,0,0,0.010548,10548.0,1,2025-02-26,Mens,Rice,Valuation (24-25 Data)
AZ-baseball-2024-0012,baseball,2024,32,Arizona,Pepperdine,ESPN+,Non-Conference,home,Tucson,AZ,0,0,1,0.00328,3280.0,0,2025-03-06,Mens,Pepperdine,Valuation (24-25 Data)
AZ-baseball-2024-0013,baseball,2024,32,Arizona,Pepperdine,ESPN+,Non-Conference,home,Tucson,AZ,0,0,1,0.00091,910.0,0,2025-03-07,Mens,Pepperdine,Valuation (24-25 Data)
AZ-baseball-2024-0014,baseball,2024,32,Arizona,Pepperdine,ESPN+,Non-Conference,home,Tucson,AZ,0,0,1,0.001131,1131.0,0,2025-03-08,Mens,Pepperdine,Valuation (24-25 Data)
AZ-baseball-2024-0015,baseball,2024,32,Arizona,Pepperdine,ESPN+,Non-Conference,home,Tucson,AZ,0,0,0,0.001237,1237.0,0,2025-03-09,Mens,Pepperdine,Valuation (24-25 Data)
AZ-baseball-2024-0016,baseball,2024,32,Arizona,Arizona State,ESPN+,Big 12,home,Tucson,AZ,0,0,1,0.003811,3811.0,0,2025-03-11,Mens,Arizona State,Valuation (24-25 Data)
AZ-baseball-2024-0017,baseball,2024,33,Arizona,Cincinnati,ESPN+,Big 12,home,Tucson,AZ,0,0,1,0.002789,2789.0,0,2025-03-14,Mens,Cincinnati,Valuation (24-25 Data)
AZ-baseball-2024-0018,baseball,2024,33,Arizona,Cincinnati,ESPN+,Big 12,home,Tucson,AZ,0,0,1,0.002351,2351.0,0,2025-03-15,Mens,Cincinnati,Valuation (24-25 Data)
AZ-baseball-2024-0019,baseball,2024,33,Arizona,Cincinnati,ESPN+,Big 12,home,Tucson,AZ,0,0,0,0.000822,822.0,0,2025-03-16,Mens,Cincinnati,Valuation (24-25 Data)
AZ-baseball-2024-0020,baseball,2024,33,Arizona,Kansas,ESPN+,Big 12,home,Tucson,AZ,0,0,1,0.002245,2245.0,0,2025-03-18,Mens,Kansas,Valuation (24-25 Data)
AZ-baseball-2024-0021,baseball,2024,34,West Virginia,Arizona,ESPN+,Big 12,away,Unknown,ST,0,0,0,0.026311,26311.0,0,2025-03-21,Mens,West Virginia,Valuation (24-25 Data)
AZ-baseball-2024-0022,baseball,2024,34,West Virginia,Arizona,ESPN+,Big 12,away,Unknown,ST,0,0,0,0.012429,12429.0,0,2025-03-22,Mens,West Virginia,Valuation (24-25 Data)
AZ-baseball-2024-0023,baseball,2024,34,West Virginia,Arizona,ESPN+,Big 12,away,Unknown,ST,0,0,0,0.017036,17036.0,0,2025-03-23,Mens,West Virginia,Valuation (24-25 Data)
AZ-baseball-2024-0024,baseball,2024,34,Arizona,Seattle U,ESPN+,Non-Conference,home,Tucson,AZ,0,0,1,0.004739,4739.0,0,2025-03-26,Mens,Seattle U,Valuation (24-25 Data)
AZ-baseball-2024-0025,baseball,2024,35,Arizona,Baylor,ESPN+,Big 12,home,Tucson,AZ,0,0,1,0.001923,1923.0,0,2025-03-28,Mens,Baylor,Valuation (24-25 Data)
AZ-baseball-2024-0026,baseball,2024,35,Arizona,Baylor,ESPN+,Big 12,home,Tucson,AZ,0,0,1,0.003721,3721.0,0,2025-03-29,Mens,Baylor,Valuation (24-25 Data)
AZ-baseball-2024-0027,baseball,2024,35,Arizona,Baylor,ESPN+,Big 12,home,Tucson,AZ,0,0,0,0.001571,1571.0,0,2025-03-30,Mens,Baylor,Valuation (24-25 Data)
AZ-baseball-2024-0028,baseball,2024,35,Grand Canyon,Arizona,ESPN+,Non-Conference,away,Unknown,ST,0,0,1,0.010548,10548.0,1,2025-04-01,Mens,Grand Canyon,Valuation (24-25 Data)
AZ-baseball-2024-0029,baseball,2024,36,Arizona State,Arizona,ESPN+,Big 12,away,Unknown,ST,0,1,1,0.010548,10548.0,1,2025-04-04,Mens,Arizona State,Valuation (24-25 Data)
AZ-baseball-2024-0030,baseball,2024,36,Arizona State,Arizona,ESPN+,Big 12,away,Unknown,ST,0,1,1,0.010548,10548.0,1,2025-04-05,Mens,Arizona State,Valuation (24-25 Data)
AZ-baseball-2024-0031,baseball,2024,36,Arizona,New Mexico State,ESPN+,Non-Conference,home,Tucson,AZ,0,0,1,0.001976,1976.0,0,2025-04-08,Mens,New Mexico State,Valuation (24-25 Data)
AZ-baseball-2024-0032,baseball,2024,37,Arizona,Oklahoma State,ESPN+,Big 12,home,Tucson,AZ,0,0,1,0.004926,4926.0,0,2025-04-11,Mens,Oklahoma State,Valuation (24-25 Data)
AZ-baseball-2024-0033,baseball,2024,37,Arizona,Oklahoma State,ESPN+,Big 12,home,Tucson,AZ,0,0,1,0.005458,5458.0,0,2025-04-12,Mens,Oklahoma State,Valuation (24-25 Data)
AZ-baseball-2024-0034,baseball,2024,37,Arizona,Oklahoma State,ESPN+,Big 12,home,Tucson,AZ,0,0,0,0.002906,2906.0,0,2025-04-13,Mens,Oklahoma State,Valuation (24-25 Data)
AZ-baseball-2024-0035,baseball,2024,37,Arizona,Grand Canyon,ESPN+,Non-Conference,home,Tucson,AZ,0,0,1,0.00149,1490.0,0,2025-04-15,Mens,Grand Canyon,Valuation (24-25 Data)
AZ-baseball-2024-0036,baseball,2024,38,BYU,Arizona,ESPN+,Big 12,away,Unknown,ST,0,0,0,0.010548,10548.0,1,2025-04-17,Mens,BYU,Valuation (24-25 Data)
